Activity,Weight,Reps,Duration,DateTime
Pu,,20,,2021-01-13 08:37:48.856317
Pu,,30,,2021-01-13 09:24:18.468326
Pu,,20,,2021-01-13 15:46:08.932164
P,,10,,2021-01-14 10:01:39.861043
P,,10,,2021-01-14 10:58:12.616218
D,,7,,2021-01-14 10:58:15.792439
Pu,,20,,2021-01-14 10:58:20.546384
P,,20,,2021-01-15 10:09:06.116594
Pu,,25,,2021-01-15 10:09:12.173020
Pu,,20,,2021-01-15 10:39:22.055444
P,,10,,2021-01-15 10:48:45.859869
P,,10,,2021-01-15 12:23:35.636971
Pu,,20,,2021-01-15 12:23:39.063758
Pu,,33,,2021-01-16 07:35:46.381001
P,,20,,2021-01-16 07:39:41.756830
P,,10,,2021-01-16 10:55:06.270486
P,,15,,2021-01-18 09:26:10.344437
Pu,,20,,2021-01-18 09:26:16.359791
Pl,,90,,2021-01-19 11:21:00.766024
Pu,,20,,2021-01-19 11:30:16.007545
Pu,,25,,2021-01-25 08:55:51.907481
P,,10,,2021-01-25 08:55:56.698563
Pu,,20,,2021-01-26 09:24:29.603919
Pu,,25,,2021-03-01 09:53:34.505981
D,,15,,2021-03-01 10:05:35.071024
Pu,,25,,2021-03-31 09:34:50.721825
H,,,1900-01-01 00:03:30,2021-11-10 14:30:46.407471
